"date","ticker","close"
2020-01-02,"SAP",125.219993591309
2020-01-03,"SAP",122.629753112793
2020-01-06,"SAP",122.831092834473
2020-01-07,"SAP",122.300231933594
2020-01-08,"SAP",123.636543273926
2020-01-09,"SAP",125.512886047363
2020-01-10,"SAP",125.375587463379
2020-01-13,"SAP",126.611228942871
2020-01-14,"SAP",125.62272644043
2020-01-15,"SAP",124.844718933105
2020-01-16,"SAP",125.659324645996
2020-01-17,"SAP",128.103149414062
2020-01-21,"SAP",127.718719482422
2020-01-22,"SAP",127.755340576172
2020-01-23,"SAP",126.43733215332
2020-01-24,"SAP",127.27938079834
2020-01-27,"SAP",124.707443237305
2020-01-28,"SAP",121.238510131836
2020-01-29,"SAP",120.497116088867
2020-01-30,"SAP",119.874740600586
2020-01-31,"SAP",119.691680908203
2020-02-03,"SAP",121.403259277344
2020-02-04,"SAP",124.002670288086
2020-02-05,"SAP",125.7783203125
2020-02-06,"SAP",124.927108764648
2020-02-07,"SAP",123.61824798584
2020-02-10,"SAP",123.77384185791
2020-02-11,"SAP",124.982032775879
2020-02-12,"SAP",126.455627441406
2020-02-13,"SAP",125.805786132812
2020-02-14,"SAP",125.796646118164
2020-02-18,"SAP",126.089515686035
2020-02-19,"SAP",127.865165710449
2020-02-20,"SAP",126.702751159668
2020-02-21,"SAP",125.05525970459
2020-02-24,"SAP",119.828956604004
2020-02-25,"SAP",116.954971313477
2020-02-26,"SAP",116.149528503418
2020-02-27,"SAP",114.23657989502
2020-02-28,"SAP",113.101638793945
2020-03-02,"SAP",115.810882568359
2020-03-03,"SAP",113.312156677246
2020-03-04,"SAP",115.014579772949
2020-03-05,"SAP",111.005630493164
2020-03-06,"SAP",111.197845458984
2020-03-09,"SAP",102.054145812988
2020-03-10,"SAP",107.994346618652
2020-03-11,"SAP",103.079277038574
2020-03-12,"SAP",92.8464050292969
2020-03-13,"SAP",99.171012878418
2020-03-16,"SAP",89.2310333251953
2020-03-17,"SAP",94.2376327514648
2020-03-18,"SAP",88.7367782592773
2020-03-19,"SAP",86.1556777954102
2020-03-20,"SAP",86.311279296875
2020-03-23,"SAP",89.9907150268555
2020-03-24,"SAP",96.9926300048828
2020-03-25,"SAP",97.3862152099609
2020-03-26,"SAP",105.486480712891
2020-03-27,"SAP",100.937515258789
2020-03-30,"SAP",103.335548400879
2020-03-31,"SAP",101.138870239258
2020-04-01,"SAP",96.5899124145508
2020-04-02,"SAP",96.0956649780273
2020-04-03,"SAP",96.2787246704102
2020-04-06,"SAP",102.520950317383
2020-04-07,"SAP",102.356201171875
2020-04-08,"SAP",105.275947570801
2020-04-09,"SAP",111.124626159668
2020-04-13,"SAP",112.01244354248
2020-04-14,"SAP",112.881965637207
2020-04-15,"SAP",108.598434448242
2020-04-16,"SAP",109.175064086914
2020-04-17,"SAP",112.955184936523
2020-04-20,"SAP",112.177200317383
2020-04-21,"SAP",106.172927856445
2020-04-22,"SAP",107.179740905762
2020-04-23,"SAP",105.394943237305
2020-04-24,"SAP",106.621429443359
2020-04-27,"SAP",106.960075378418
